danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode
0.683,0.86,G,-7.317,major,0.31,0.0117,3.79e-4,0.356,0.298,143.311,7fjLBPTsQrbkV2WRedi2bw,175357,4,G major
0.635,0.655,C,-9.521,major,0.0484,0.15,0.553,0.129,0.271,91.026,4ZOv9mx6Lz7RRaBFi5UNaE,184e3,4,C major
0.67,0.652,A#,-6.565,major,0.0454,0.456,0.816,0.0953,0.057,174.049,7thpkmYQjsmilZSddZQZOg,233793,4,A# major
0.684,0.737,E,-6.46,minor,0.0485,0.41,0.869,0.0943,0.135,127.963,4xl7p1wHcDAihFHudcfn25,318750,4,E minor
0.513,0.55,C,-7.342,major,0.0295,0.173,0.86,0.438,0.319,93.055,5DmhjZlwaJvUbQBTAIAX1i,295e3,4,C major
0.747,0.538,B,-9.664,minor,0.033,0.877,0.766,0.0877,0.3,136.948,2HFLh8qlNfW4EPpHVHz7Ej,180438,4,B minor
0.677,0.479,A,-11.532,minor,0.0344,0.804,0.767,0.105,0.4,98.026,4ANZKZkg74qHyVgd0gwO32,151837,4,A minor
0.511,0.617,D#,-5.493,major,0.0331,7.46e-4,0,0.167,0.29,147.971,4OJ1YFmoODiCC9wEH9ATvY,260950,4,D# major
0.726,0.717,F#,-5.291,major,0.263,0.112,0,0.541,0.436,92.933,6W9OFLPDISioluZonsXGMg,189293,4,F# major
0.611,0.834,A#,-5.759,minor,0.0648,0.0112,0.549,0.651,0.668,82.928,0QJuFUJKx7ppendrbpAK4r,212760,4,A# minor
0.342,0.587,B,-7.273,minor,0.0537,0.00648,0.0995,0.207,0.484,168.847,757PJjXAgywxrYkdhMkEV9,236867,4,B minor
0.597,0.786,F,-4.248,major,0.0419,0.00345,0,0.0909,0.666,99.888,3kb38wezoUA8ki5jPYy3t5,238973,4,F major
0.616,0.894,C#,-3.209,minor,0.0508,0.0178,1.03e-4,0.153,0.542,115.077,30lgD1UuHczwlxa7NZFeSQ,208080,4,C# minor
0.648,0.931,A,-4.19,major,0.0613,0.275,0.00247,0.114,0.337,131.033,35v12v3E5bTVm0o5vdddVS,242467,4,A major
0.473,0.883,F#,-3.65,major,0.047,0.00201,9.67e-4,0.142,0.164,115.048,5PtEpuVX03k9bOUwilL5EO,238133,4,F# major
