danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode,playlist_name,playlist_img,track_name,artist_name,album_name,album_img
0.657,0.581,A#,-11.322,major,0.0261,0.237,0.957,0.197,0.423,98.018,5dnmgajyW9hOYEYSSpyvmx,264587,4,A# major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Care,David Bazan,Care,https://i.scdn.co/image/43151e07ea8c72627c96e6abfd6229983ca93c78
0.543,0.549,C,-6.497,major,0.0306,0.149,0.082,0.114,0.404,80.079,41oqThgUF4yiNz77TazXtl,205893,4,C major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Now & Then,Sjowgren,Now & Then,https://i.scdn.co/image/277778eb5bddf2a54769a725bad27b0a2707aa28
0.549,0.449,A,-13.645,minor,0.103,0.662,4.88e-5,0.0864,0.223,121.164,33WAIMdg6P4Y0kwgYfxg9X,85267,4,A minor,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Redemption Interlude,Zacari,Black Panther The Album Music From And Inspired By,https://i.scdn.co/image/0a671ae344242abf5ca26c0b2365c46190e4413a
0.273,0.786,E,-5.535,major,0.116,0.0117,0.111,0.0364,0.476,149.379,2wb2FptR9dbAw9TIQpMfZ1,520813,4,E major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Young Blood,The Districts,A Flourish and a Spoil,https://i.scdn.co/image/6bc2ae40cc6c817924d2ea4d577c9d75f1fc20a1
0.48,0.52,D#,-9.529,major,0.0419,0.164,0.00168,0.102,0.114,75.493,0iByHgOtRyd96SFdlXP2Xc,306773,4,D# major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Cruel World,Active Child,Cruel World,https://i.scdn.co/image/8377a07667acc81681a1a69e9401a6e5f8db090a
0.493,0.665,F,-4.805,minor,0.0567,0.0956,8.33e-4,0.191,0.509,145.014,7FujcuRcRffWiMZsVkYKkk,222440,4,F minor,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,The Only Heirs,Local Natives,The Only Heirs,https://i.scdn.co/image/c104c78b10fd03390d390546d72a0988d7eedf7d
0.661,0.709,B,-6.616,minor,0.0266,0.337,0.0068,0.0788,0.657,93.975,43np7Vo0MSRM7xBMpoBGFe,238722,4,B minor,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,This Is How We Walk on the Moon,Geographer,Endless Motion Vol. 1,https://i.scdn.co/image/be9ce4bc68b98118d0d4c1fbaf1a64f5a55e8f9d
0.465,0.487,B,-8.743,major,0.0399,0.0483,0.344,0.0951,0.203,97.847,4OxtqhSBnOsgGc1yfYAfOn,241546,4,B major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Lovely Day (Bonus Track),alt-J,This Is All Yours,https://i.scdn.co/image/c8eafa550f5ce5bf54fa68a615bde6e0c18c13c4
0.392,0.533,D,-8.262,major,0.0316,0.0481,0.807,0.105,0.194,134.597,1NLpIKoNSE3bcbAzfU5h56,403281,4,D major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Kith and Kin,Brontide,Artery,https://i.scdn.co/image/7201006157e91fff7c741c229c95360db4739eda
0.327,0.844,C,-5.269,minor,0.0384,0.00396,0.758,0.151,0.0365,180.053,33m0aVQvsfvanuwG6rByrd,136667,3,C minor,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Sommarfågel - Bassnectar Remix,Wintergatan,Into the Sun,https://i.scdn.co/image/86eee01c32785fb1a51425e8c311f07446af331f
